	root	phylum	class	order	family	genus
16069	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
16073	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
16077	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
16097	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
16174	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
16189	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
16225	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
16239	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
16246	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
16254	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
16255	unk	unk	unk	unk	unk	unk
16256	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16264	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
16293	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
16294	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
16299	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella
16313	unk	unk	unk	unk	unk	unk
16332	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
16335	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
16339	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16368	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
16409	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
16410	Root	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	TG5
16419	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16422	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16429	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16451	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16470	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16490	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
16500	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
16507	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16511	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
16519	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16520	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16530	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
16540	unk	unk	unk	unk	unk	unk
16547	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16548	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
16610	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
16620	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16630	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16632	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16633	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Streptobacillus
16640	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16646	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16659	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16674	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16676	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16679	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
16686	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
16688	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
16697	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
16703	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
16723	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
16727	unk	unk	unk	unk	unk	unk
16728	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
16747	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16754	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
16757	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
16766	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
16768	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16784	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
16788	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16791	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
16798	unk	unk	unk	unk	unk	unk
16807	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
16808	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16821	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16827	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
